source_center,destination_center,time_bucket,evaluated_legs,median_carting_eta_min,median_ftl_eta_min,median_ftl_time_saving_min,median_break_even_ftl_premium,median_ftl_net_value,recommended_route_type,evidence_level
IND321001AAB,IND321401AAB,night,1,131.64498041070448,131.92021355661956,-0.27523314591508097,0.0,-500.0,Carting,low: one mode observed
IND321022AAA,IND121004AAB,night,2,293.76734975628824,316.55356770102185,-22.78621794473358,0.0,-500.0,Carting,low: one mode observed
IND321408AAB,IND301001AAB,night,1,412.56180709566917,428.37645888662325,-15.814651790954088,0.0,-500.0,Carting,unsupported: unseen corridor
IND321606AAA,IND321001AAA,night,1,124.4088510663217,128.31950056629645,-3.9106494999747525,0.0,-500.0,Carting,low: one mode observed
IND322230AAA,IND322241AAA,night,1,59.87936895717674,60.337954507916315,-0.45858555073957774,0.0,-500.0,Carting,low: one mode observed
IND322241AAA,IND322201AAA,night,3,74.90203189606747,76.75770462392171,-1.2004834087464076,0.0,-500.0,Carting,low: one mode observed
IND756032AAA,IND712311AAA,afternoon,2,468.7711414052877,489.85208616381846,-21.080944758530762,0.0,-500.0,Carting,low: one mode observed
IND756100AAC,IND758001AAA,evening,1,426.8348591358403,435.551996574632,-8.717137438791724,0.0,-500.0,Carting,low: one mode observed
IND756100AAC,IND758034AAA,afternoon,3,565.0746974004932,582.7244921402963,-17.649794739803156,0.0,-500.0,Carting,low: one mode observed
IND756100AAC,IND758034AAA,evening,2,525.9954255236805,536.4453703660794,-10.449944842398793,0.0,-500.0,Carting,low: one mode observed
IND332001AAB,IND333042AAA,evening,3,87.04642792795585,89.07303506645731,-2.0266071385014612,0.0,-500.0,Carting,low: one mode observed
IND757024AAA,IND756019AAA,night,1,281.1072321001382,286.91611830397335,-5.808886203835129,0.0,-500.0,Carting,unsupported: unseen corridor
IND332001AAB,IND334001AAB,evening,3,369.6069471381161,378.3258128077841,-8.718865669667991,0.0,-500.0,Carting,low: one mode observed
IND757037AAA,IND756100AAC,morning,3,649.1861342304863,653.7524473514526,-4.566313120966242,0.0,-500.0,Carting,low: one mode observed
IND757037AAA,IND756100AAC,night,4,633.9142892648852,655.2890291211056,-17.456625115128702,0.0,-500.0,Carting,low: one mode observed
IND332001AAB,IND334001AAC,evening,1,380.46489982471275,398.03454981271557,-17.569649988002823,0.0,-500.0,Carting,low: one mode observed
IND333042AAA,IND333031AAA,night,4,134.4232103807775,136.12010591563126,-0.6788595144987539,0.0,-500.0,Carting,low: one mode observed
IND758001AAA,IND758035AAA,night,1,112.61112243093056,113.90687622345077,-1.2957537925202018,0.0,-500.0,Carting,low: one mode observed
IND758034AAA,IND757037AAA,night,1,188.60810833768724,193.44562652166496,-4.837518183977721,0.0,-500.0,Carting,low: one mode observed
IND334001AAC,IND334803AAA,night,1,94.28536036624679,96.63992040723664,-2.3545600409898526,0.0,-500.0,Carting,low: one mode observed
IND334001AAC,IND341001AAC,night,1,158.16759968874274,166.91932535329144,-8.751725664548701,0.0,-500.0,Carting,low: one mode observed
IND335001AAA,IND125104AAA,night,4,151.3607637099528,166.054692498,-15.153208538719369,0.0,-500.0,Carting,low: one mode observed
IND335051AAA,IND335513AAA,afternoon,1,295.2239796452214,297.7804248608195,-2.556445215598103,0.0,-500.0,Carting,low: one mode observed
IND335051AAA,IND335513AAA,morning,4,280.4587478181139,292.81575422677867,-10.73145967723218,0.0,-500.0,Carting,low: one mode observed
IND341001AAC,IND341303AAA,night,3,153.79886910080927,168.21462652875468,-14.415757427945408,0.0,-500.0,Carting,low: one mode observed
IND341505AAA,IND341503AAB,night,6,158.2462478397409,166.68131590419878,-8.77328136099149,0.0,-500.0,Carting,low: one mode observed
IND341510AAB,IND305001AAC,morning,6,333.4691058155313,341.55080817900694,-5.980569506823883,0.0,-500.0,Carting,low: one mode observed
IND342005AAD,IND344022AAB,night,1,184.7344615290937,188.8078435844544,-4.073382055360696,0.0,-500.0,Carting,low: one mode observed
IND768004AAD,IND768028AAA,evening,1,153.1037057359926,153.30598839048758,-0.2022826544949794,0.0,-500.0,Carting,low: one mode observed
IND342602AAC,IND311302AAA,night,1,135.70707264104684,137.52869389632946,-1.821621255282622,0.0,-500.0,Carting,low: one mode observed
IND768028AAA,IND767001AAA,night,1,350.59591511699335,356.6402413892071,-6.044326272213766,0.0,-500.0,Carting,unsupported: unseen corridor
IND342902A1B,IND302014AAA,morning,3,512.2537385608895,526.9026219284566,-5.310155666994888,0.0,-500.0,Carting,low: one mode observed
IND344001AAA,IND342301AAA,morning,1,365.9437577401984,386.40706745582196,-20.463309715623552,0.0,-500.0,Carting,low: one mode observed
IND344001AAA,IND345021AAA,morning,2,284.68476213663445,309.9173702701546,-25.23260813352016,0.0,-500.0,Carting,low: one mode observed
IND344022AAB,IND344001AAA,morning,3,114.99617369799172,115.78019395758025,-1.3072096969533078,0.0,-500.0,Carting,low: one mode observed
IND344022AAB,IND344001AAA,night,2,117.01485977820433,120.68907124902523,-3.6742114708209073,0.0,-500.0,Carting,low: one mode observed
IND360510AAB,IND360530AAB,morning,2,54.10031053841837,55.01016706203636,-0.909856523617993,0.0,-500.0,Carting,low: one mode observed
IND360510AAB,IND360530AAB,night,3,54.34670010769057,54.234334335780076,-0.040630028532071094,0.0,-500.0,Carting,low: one mode observed
IND362001AAA,IND360575AAA,night,4,148.13880096972508,154.37559246285917,-5.627692926224029,0.0,-500.0,Carting,low: one mode observed
IND781018AAB,IND110037AAM,evening,5,2809.5926998035798,3170.6732913680344,-362.63558618506386,0.0,-500.0,Carting,low: one mode observed
IND781018AAB,IND712311AAA,afternoon,3,1958.951731473474,2202.959780023832,-244.3113303404998,0.0,-500.0,Carting,low: one mode observed
IND362001AAA,IND362220AAA,morning,1,72.93141057322542,73.40804841557342,-0.4766378423479978,0.0,-500.0,Carting,low: one mode observed
IND363001AAA,IND363421AAB,night,5,54.09205682823931,56.12698756364106,-1.7245533253291612,0.0,-500.0,Carting,low: one mode observed
IND363330AAB,IND363310AAB,morning,1,75.57993040277192,77.03457402167109,-1.4546436188991692,0.0,-500.0,Carting,low: one mode observed
IND781018AAB,IND781005AAA,evening,1,160.94872885668605,170.9958716074565,-10.047142750770462,0.0,-500.0,Carting,low: one mode observed
IND781018AAB,IND781022AAA,morning,2,130.95415569266333,137.43726237763536,-6.483106684972007,0.0,-500.0,Carting,low: one mode observed
IND364004AAB,IND365560AAA,evening,2,210.9119342025753,214.1189736623103,-3.207039459734986,0.0,-500.0,Carting,low: one mode observed
IND781022AAA,IND781018AAB,morning,1,101.47439091890386,103.55826864028745,-2.083877721383587,0.0,-500.0,Carting,low: one mode observed
IND781022AAA,IND781018AAB,night,1,108.3926720742715,110.23092101909658,-1.8382489448250823,0.0,-500.0,Carting,low: one mode observed
IND365560AAA,IND365560AAB,night,2,117.28643139273584,121.1417729666484,-3.8553415739125754,0.0,-500.0,Carting,low: one mode observed
IND370201AAA,IND363330AAB,night,1,251.42173160112068,263.1299687815989,-11.708237180478221,0.0,-500.0,Carting,low: one mode observed
IND380006AAA,IND382430AAB,morning,5,61.35485818580689,66.2971500906616,-5.833533695016051,0.0,-500.0,Carting,low: one mode observed
IND380006AAA,IND382430AAB,night,4,65.37180261377974,70.4722458857022,-4.965007234211665,0.0,-500.0,Carting,low: one mode observed
IND786001AAB,IND786171AAA,night,5,206.2530490773909,206.73479167138652,-2.5042208655779064,0.0,-500.0,Carting,low: one mode observed
IND786001AAB,IND786184AAA,evening,1,131.89695465586152,135.71795930551156,-3.8210046496500354,0.0,-500.0,Carting,low: one mode observed
IND786001AAB,IND786184AAA,night,2,123.67412047919166,126.20148135196891,-2.527360872777244,0.0,-500.0,Carting,low: one mode observed
IND380006AAB,IND382430AAB,morning,7,70.42753459079933,77.70865892476701,-7.461730086335734,0.0,-500.0,Carting,low: one mode observed
IND786001AAB,IND786602AAA,night,3,131.99851251091624,135.07024930068175,-3.0717367897655095,0.0,-500.0,Carting,low: one mode observed
IND786001AAB,IND792103AAB,morning,1,414.89494865982084,427.19426732445004,-12.299318664629197,0.0,-500.0,Carting,unsupported: unseen corridor
IND380006AAB,IND382430AAB,night,5,78.52007172036065,86.19864245915517,-7.64000780902721,0.0,-500.0,Carting,low: one mode observed
IND786171AAA,IND786181AAC,morning,1,47.64954045245048,48.25726246713715,-0.6077220146866722,0.0,-500.0,Carting,low: one mode observed
IND786171AAA,IND786181AAC,night,4,47.304074739884015,47.681110757207136,-0.800692753820659,0.0,-500.0,Carting,low: one mode observed
IND786181AAC,IND786001AAB,morning,5,229.49033060313036,230.59886555250372,-0.4845361667561576,0.0,-500.0,Carting,low: one mode observed
IND786181AAC,IND786001AAB,night,1,230.04668751796996,236.19035642274895,-6.143668904778991,0.0,-500.0,Carting,low: one mode observed
IND380054AAA,IND382430AAB,morning,7,68.23135988720958,75.43928992267047,-6.591681019380815,0.0,-500.0,Carting,low: one mode observed
IND786181AAC,IND792121AAB,morning,3,136.89107760861725,140.99325443012665,-4.102176821509403,0.0,-500.0,Carting,low: one mode observed
