source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND000000ACB,IND501359AAE,FTL,afternoon,9,1166.0,2432.0,2782.0,2.085763293310463,1266.0,1.0,True
IND000000ACB,IND501359AAE,FTL,evening,4,1165.5,2207.0,2412.0,1.8935975677088317,1041.5,1.0,False
IND000000ACB,IND501359AAE,FTL,night,8,1165.5,2192.5,2430.5,1.8803590145304896,1026.5,1.0,True
IND000000ACB,IND521225AAB,FTL,night,5,1283.0,2606.0,2867.0,2.0327613104524183,1324.0,1.0,True
IND000000ACB,IND562132AAA,FTL,afternoon,6,1536.0,2934.5,3238.5,1.9032319928940566,1392.5,1.0,True
IND000000ACB,IND562132AAA,FTL,evening,8,1536.0,2878.5,3077.0,1.8740234375,1342.5,1.0,True
IND000000ACB,IND562132AAA,FTL,morning,20,1550.0,2841.0,3013.0,1.844062587029339,1293.5,1.0,True
IND000000ACB,IND562132AAA,FTL,night,10,1547.5,2875.0,3126.0,1.856036152356359,1326.0,1.0,True
IND000000ACB,IND600056AAB,FTL,morning,5,1610.0,3045.0,3251.0,1.891304347826087,1435.0,1.0,True
IND000000ACB,IND600056AAB,FTL,night,5,1610.0,3031.0,3341.0,1.8814400993171942,1420.0,1.0,True
IND000000ACB,IND712311AAA,FTL,afternoon,12,1016.0,2259.0,2478.5,2.2234753744017293,1243.5,1.0,True
IND000000ACB,IND712311AAA,FTL,evening,12,1016.0,1926.0,2198.0,1.8966011791629493,910.5,1.0,True
IND000000ACB,IND712311AAA,FTL,night,10,1017.0,2069.5,2263.0,2.035906324762502,1053.0,1.0,True
IND000000ACB,IND751002AAB,FTL,evening,2,1167.0,2338.5,2591.5,2.003887250640288,1171.5,1.0,False
IND000000ACB,IND751002AAB,FTL,night,11,1167.0,2404.0,2508.0,2.0599828620394174,1237.0,1.0,True
IND000000ACB,IND821115AAB,FTL,night,14,646.0,1341.0,1535.0,2.074260339456697,694.5,1.0,True
IND000000ACB,IND834002AAB,FTL,evening,1,851.0,1539.0,1939.0,1.808460634547591,688.0,1.0,False
IND000000ACB,IND834002AAB,FTL,night,8,851.0,1616.5,1748.0,1.8989962099270121,765.5,1.0,True
IND000000ACB,IND842001AAA,FTL,night,12,737.5,1515.0,1721.5,2.051457510515565,776.5,1.0,True
IND000000ACK,IND501359AAF,Carting,afternoon,22,21.0,64.5,125.5,3.0811688311688314,44.0,1.0,True
