facility_id,in_degree,out_degree,betweenness_centrality,weighted_betweenness_centrality,clustering_coefficient,weak_component_size,outgoing_legs,outgoing_breaches,outgoing_excess_min,source_dwell_min,incoming_legs,incoming_breaches,incoming_excess_min,throughput_legs,attributed_breaches,attributed_excess_min,facility_name,structural_percentile,weighted_structural_percentile,throughput_percentile,excess_time_percentile,low_redundancy_percentile,sla_breach_contribution_pct,excess_time_contribution_pct,observed_impact_index,bottleneck_score
IND145001AAA,1,2,1.1889041949295614e-06,1.1889041949295614e-06,0.3333333333333333,4,7.0,6.0,138.0,202.0,13.0,13.0,11464.0,20.0,9.5,5801.0,Pathankot_DC (Punjab),0.42138364779874216,0.4069182389937107,0.6729559748427673,0.9735849056603774,0.24213836477987422,0.05279831045406547,0.27623414903596616,0.018045683453707807,23.80794455004388
IND303008AAB,1,1,2.179657690704196e-06,4.359315381408392e-06,0.0,18,5.0,4.0,66.0,176.0,5.0,5.0,233.0,10.0,4.5,149.5,Dudu_NrainaRD_D (Rajasthan),0.43647798742138366,0.4477987421383648,0.3632075471698113,0.2930817610062893,0.7150943396226415,0.025009726004557326,0.007118945919820193,0.0034511481430932085,23.796771243632648
IND122503AAA,1,1,0.0004050200290726706,0.0004050200290726706,0.0,1263,2.0,2.0,190.0,209.0,2.0,2.0,57.0,4.0,2.0,123.5,Pataudi_DC (Haryana),0.5748427672955975,0.5506289308176101,0.15943396226415094,0.24874213836477987,0.7150943396226415,0.011115433779803258,0.005880868368547116,0.0016457615857894319,23.753671727088214
IND249201AAA,1,1,0.0,0.0,0.0,1263,12.0,12.0,3212.0,5063.0,11.0,11.0,423.0,23.0,11.5,1817.5,Rishikesh_DC (Uttarakhand),0.18930817610062894,0.18270440251572326,0.7566037735849057,0.9147798742138364,0.7150943396226415,0.06391374423386872,0.08654638267072375,0.011635313002886661,23.748432316811
IND532440AAA,1,1,0.0,0.0016145318967143445,0.5,1263,11.0,11.0,231.0,129.0,11.0,11.0,261.0,22.0,11.0,246.0,Palakonda_VadaiDPP_D (Andhra Pradesh),0.18930817610062894,0.8232704402515724,0.7286163522012579,0.4377358490566038,0.13364779874213836,0.06113488578891791,0.011714118369737575,0.008201842312087423,23.748142430069784
IND321001AAA,2,2,0.00040462372767436077,0.00040462372767436077,0.3333333333333333,1263,8.0,7.0,1094.0,428.0,5.0,5.0,131.0,13.0,6.0,612.5,Bharatpur_DC (Rajasthan),0.5688679245283019,0.5433962264150943,0.47232704402515724,0.7393081761006289,0.24213836477987422,0.03334630133940977,0.029166250005952295,0.005411982578858375,23.74386956919449
IND793001AAA,1,2,0.000409379344454079,0.000409379344454079,0.5,1263,3.0,3.0,427.0,102.0,10.0,10.0,986.0,13.0,6.5,706.5,Shillong (Meghalaya),0.6116352201257862,0.5839622641509434,0.47232704402515724,0.7779874213836478,0.13364779874213836,0.03612515978436059,0.033642376537478036,0.00594724652894855,23.732896917642396
IND458001AAB,1,1,0.000409379344454079,0.000409379344454079,0.5,1263,6.0,6.0,187.0,123.0,7.0,7.0,215.0,13.0,6.5,201.0,Mandsaur_YashDPP_D (Madhya Pradesh),0.6116352201257862,0.5839622641509434,0.47232704402515724,0.37295597484276727,0.13364779874213836,0.03612515978436059,0.00957129183868802,0.004955677319183113,23.683318457154122
IND562108AAA,1,1,2.377808389859123e-06,2.377808389859123e-06,0.0,1263,1.0,1.0,123.0,790.0,9.0,8.0,126.0,10.0,4.5,124.5,Gauribidanur_Gurukrpa_D (Karnataka),0.44056603773584907,0.42641509433962266,0.3632075471698113,0.2512578616352201,0.7150943396226415,0.025009726004557326,0.005928486735903773,0.0034021091119475393,23.641803568804928
IND360490AAA,1,1,8.32232936450693e-06,8.32232936450693e-06,0.0,13,7.0,7.0,305.0,134.0,1.0,1.0,27.0,8.0,4.0,166.0,Upleta_AdrshSt_DC (Gujarat),0.4827044025157233,0.470125786163522,0.2921383647798742,0.3229559748427673,0.7150943396226415,0.022230867559606515,0.00790464898120503,0.0031326367106668945,23.631474602828945
