source_center,destination_center,observation_count,trip_count,route_type_count,median_osrm_time_min,median_osrm_distance_km,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,mean_movement_delay_ratio,median_excess_min,total_excess_min,breach_rate,chronic_delay,sla_breach_contribution_pct,corridor_priority_score,recommended_intervention
IND487001AAB,IND487551AAA,2,2,1,44.5,50.0632,75.5,86.0,1.7051671732522795,1.7051671732522795,31.0,62.0,1.0,False,0.011115433779803258,21.65769537480064,Monitor; current evidence does not justify capital action
IND815301AAA,IND814112AAA,1,1,1,59.0,65.2192,117.0,146.0,1.9830508474576272,1.9830508474576272,58.0,58.0,1.0,False,0.005557716889901629,21.59090909090909,Monitor; current evidence does not justify capital action
IND581402AAA,IND577201AAA,1,1,1,128.0,138.5931,224.0,244.0,1.75,1.75,96.0,96.0,1.0,False,0.005557716889901629,21.527113237639554,Monitor; current evidence does not justify capital action
IND000000ACB,IND127021AAA,1,1,1,101.0,125.4238,184.0,318.0,1.8217821782178218,1.8217821782178218,83.0,83.0,1.0,False,0.005557716889901629,21.506180223285487,Monitor; current evidence does not justify capital action
IND140401AAA,IND142401AAA,3,3,1,33.0,44.9258,51.0,77.0,1.5757575757575757,1.5672857608341477,18.0,55.0,1.0,False,0.016673150669704886,21.45035885167464,Monitor; current evidence does not justify capital action
IND246761AAA,IND244501AAA,10,10,1,99.0,59.060249999999996,46.0,72.0,0.462113558294605,0.48378911994627244,0.0,0.0,0.0,False,0.0,21.43341307814992,Monitor; current evidence does not justify capital action
IND560300AAB,IND563116AAA,1,1,1,91.0,102.9923,168.0,278.0,1.8461538461538463,1.8461538461538463,77.0,77.0,1.0,False,0.005557716889901629,21.395534290271133,Monitor; current evidence does not justify capital action
IND576101AAA,IND576201AAA,3,3,1,30.0,39.6332,47.0,70.0,1.5666666666666667,1.6060931899641577,17.0,55.0,1.0,False,0.016673150669704886,21.39055023923445,Monitor; current evidence does not justify capital action
IND521225AAB,IND521185AAA,1,1,1,44.0,59.401,90.0,420.0,2.0454545454545454,2.0454545454545454,46.0,46.0,1.0,False,0.005557716889901629,21.37759170653907,Monitor; current evidence does not justify capital action
IND826004AAA,IND815353AAA,1,1,1,86.0,105.3824,160.0,235.0,1.8604651162790697,1.8604651162790697,74.0,74.0,1.0,False,0.005557716889901629,21.36164274322169,Monitor; current evidence does not justify capital action
IND562132AAA,IND577501AAA,1,1,1,151.0,191.4271,255.0,628.0,1.6887417218543046,1.6887417218543046,104.0,104.0,1.0,False,0.005557716889901629,21.33273524720893,Monitor; current evidence does not justify capital action
IND274509AAB,IND274001AAA,1,1,1,24.0,29.4564,53.0,78.0,2.2083333333333335,2.2083333333333335,29.0,29.0,1.0,False,0.005557716889901629,21.311802232854866,Monitor; current evidence does not justify capital action
IND390020AAA,IND391110AAD,2,2,1,34.0,35.45685,59.5,82.0,1.7554112554112553,1.7554112554112553,25.5,51.0,1.0,False,0.011115433779803258,21.30482456140351,Monitor; current evidence does not justify capital action
IND500039AAB,IND501301AAC,1,1,1,10.0,13.8129,24.0,33.0,2.4,2.4,14.0,14.0,1.0,False,0.005557716889901629,21.296850079744818,Monitor; current evidence does not justify capital action
IND344001AAA,IND345021AAA,1,1,1,160.0,177.2213,266.0,270.0,1.6625,1.6625,106.0,106.0,1.0,False,0.005557716889901629,21.161283891547047,Monitor; current evidence does not justify capital action
IND345001AAA,IND342301AAA,1,1,1,120.0,168.0361,210.0,213.0,1.75,1.75,90.0,90.0,1.0,False,0.005557716889901629,21.07854864433812,Monitor; current evidence does not justify capital action
IND363621AAB,IND360002AAB,2,2,1,34.0,39.1379,59.0,73.5,1.7352941176470589,1.7352941176470589,25.0,50.0,1.0,False,0.011115433779803258,20.813397129186605,Monitor; current evidence does not justify capital action
IND403726AAB,IND403601AAA,5,5,1,15.0,16.1117,22.0,196.0,1.4285714285714286,1.490873015873016,6.0,38.0,1.0,True,0.02778858444950814,20.7914673046252,Audit departure window and facility handoff
IND505302AAB,IND505325AAA,5,5,1,62.0,60.1525,70.0,73.0,1.1290322580645162,1.178794274509034,8.0,54.0,0.2,False,0.005557716889901629,20.761562998405104,Monitor; current evidence does not justify capital action
IND321001AAB,IND321401AAB,1,1,1,65.0,70.37110000000001,125.0,134.0,1.9230769230769231,1.9230769230769231,60.0,60.0,1.0,False,0.005557716889901629,20.71471291866029,Monitor; current evidence does not justify capital action
IND841301AAC,IND841226AAB,1,1,1,48.0,65.8993,96.0,193.0,2.0,2.0,48.0,48.0,1.0,False,0.005557716889901629,20.67085326953748,Monitor; current evidence does not justify capital action
IND854335AAA,IND852118A1B,1,1,1,18.0,26.7262,40.0,40.0,2.2222222222222223,2.2222222222222223,22.0,22.0,1.0,False,0.005557716889901629,20.65091706539075,Monitor; current evidence does not justify capital action
